Year,Month,Day,Hour,TempC,Type
2014,4,1,0,9.81,scattered clouds
2014,4,1,1,8.68,scattered clouds
2014,4,1,10,1.43,sky is clear
2014,4,1,11,1.63,few clouds
2014,4,1,12,3.29,few clouds
2014,4,1,13,5.33,few clouds
2014,4,1,14,7.2,few clouds
2014,4,1,15,8.8,few clouds
2014,4,1,16,10.51,scattered clouds
2014,4,1,17,12.3,light rain
2014,4,1,18,13.51,light rain
2014,4,1,19,14.5,broken clouds
2014,4,1,2,6.69,scattered clouds
2014,4,1,20,14.9,broken clouds
2014,4,1,21,14.67,overcast clouds
2014,4,1,22,13.44,light rain
2014,4,1,23,11.95,broken clouds
2014,4,1,3,4.92,few clouds
2014,4,1,4,4.04,sky is clear
2014,4,1,5,3.34,sky is clear
2014,4,1,6,2.84,sky is clear
2014,4,1,7,1.92,sky is clear
2014,4,1,8,1.79,sky is clear
2014,4,1,9,1.43,sky is clear
2014,4,10,0,10.96,few clouds
2014,4,10,1,10.03,sky is clear
2014,4,10,10,1.09,sky is clear
2014,4,10,11,1.74,sky is clear
2014,4,10,12,4.83,sky is clear
2014,4,10,13,8.83,sky is clear
2014,4,10,14,10.81,sky is clear
2014,4,10,15,12.3,sky is clear
2014,4,10,16,13.75,few clouds
2014,4,10,17,14.86,few clouds
2014,4,10,18,15.22,few clouds
2014,4,10,19,15.49,few clouds
2014,4,10,2,9.15,sky is clear
2014,4,10,20,15.79,few clouds
2014,4,10,21,15.91,scattered clouds
2014,4,10,22,15.29,few clouds
2014,4,10,23,14.51,moderate rain
2014,4,10,3,8.61,sky is clear
2014,4,10,4,7.77,sky is clear
2014,4,10,5,6.56,sky is clear
2014,4,10,6,4.24,sky is clear
2014,4,10,7,2.32,sky is clear
2014,4,10,8,1.91,sky is clear
2014,4,10,9,1.5,sky is clear
2014,4,11,0,13.52,broken clouds
2014,4,11,1,12.81,broken clouds
2014,4,11,10,10.41,broken clouds
2014,4,11,11,11.07,overcast clouds
2014,4,11,12,12.16,overcast clouds
2014,4,11,13,13.91,overcast clouds
2014,4,11,14,16.3,overcast clouds
2014,4,11,15,18.93,overcast clouds
2014,4,11,16,19.81,overcast clouds
2014,4,11,17,20.86,moderate rain
2014,4,11,18,22.35,moderate rain
2014,4,11,19,22.34,overcast clouds
2014,4,11,2,12.46,broken clouds
2014,4,11,20,21.78,overcast clouds
2014,4,11,21,20.24,overcast clouds
2014,4,11,22,17.82,overcast clouds
2014,4,11,23,16.64,overcast clouds
2014,4,11,3,12.37,broken clouds
2014,4,11,4,12.32,overcast clouds
2014,4,11,5,12.12,overcast clouds
2014,4,11,6,11.64,overcast clouds
2014,4,11,7,11.19,broken clouds
2014,4,11,8,10.68,broken clouds
2014,4,11,9,10.11,broken clouds
2014,4,12,0,16.2,overcast clouds
2014,4,12,1,15.58,broken clouds
2014,4,12,10,8.76,scattered clouds
2014,4,12,11,8.27,light rain
2014,4,12,12,9.68,light rain
2014,4,12,13,12.48,light rain
2014,4,12,14,14.65,few clouds
2014,4,12,15,17.14,scattered clouds
2014,4,12,16,18.79,scattered clouds
2014,4,12,17,20.08,broken clouds
2014,4,12,18,20.97,broken clouds
2014,4,12,19,21.51,broken clouds
